14:42:45 INFO  : updated workspace path: C:\rustos
14:42:46 INFO  : cmd.exe, /C, empyro.bat repo -st   C:\AMDDesignTools\2025.2\Vitis\data\embeddedsw
14:42:50 INFO  : [INFO]: Initializing repositories
14:42:50 INFO  : [INFO]: Successfully set the EmbeddedSW path, refer .repo.yaml for more details.
14:42:50 INFO  : Successfully created repository data at C:\rustos/_ide\.wsdata
14:42:50 INFO  : cmd.exe, /C, empyro.bat get_template_data -d C:\Users\marti\AppData\Local\Temp\rigel_lopper_marti16868662884815470206 -r C:\rustos\_ide\.wsdata\.repo.yaml
14:42:51 INFO  : Embedded Template List generated successfully
14:43:52 INFO  : Using sdt generation script from C:\AMDDesignTools\2025.2\Vitis\vitis-server\scripts\platformutil.tcl
14:43:52 INFO  : cmd.exe, /C, sdtgen.bat C:\AMDDesignTools\2025.2\Vitis\vitis-server\scripts\platformutil.tcl C:\rustos\hardware\artifacts\hardware_platform\rv32imacb_zicsr_zifencei_zbc-hardware_platform.xsa C:\rustos\.rigel_lopper_temp_platform\rv32imacb_zicsr_zifencei_zbc-hardware_platform\hw\sdt
14:44:14 INFO  : INFO: C:\rustos\.rigel_lopper_temp_platform\rv32imacb_zicsr_zifencei_zbc-hardware_platform\hw\sdt exists. Files will be overwritten
14:44:14 INFO  : -xsa C:\rustos\hardware\artifacts\hardware_platform\rv32imacb_zicsr_zifencei_zbc-hardware_platform.xsa
14:44:14 INFO  : -dir C:\rustos\.rigel_lopper_temp_platform\rv32imacb_zicsr_zifencei_zbc-hardware_platform\hw\sdt
14:44:14 INFO  : -board_dts 
14:44:14 INFO  : -include_dts 
14:44:14 INFO  : -repo C:/AMDDesignTools/2025.2/Vitis/data/system-device-tree-xlnx
14:44:14 INFO  : -zocl disable
14:44:14 INFO  : INFO: [Hsi 55-2053] elapsed time for repository (C:/AMDDesignTools/2025.2/Vitis/data/embeddedsw) loading 7 seconds
14:44:14 INFO  : hsi::open_hw_design: Time (s): cpu = 00:00:00 ; elapsed = 00:00:07 . Memory (MB): peak = 126.664 ; gain = 42.188
14:44:14 INFO  : SDT generated successfully
14:44:14 INFO  : Lopper command for cpu List generation: lopper.bat --enhanced --werror -f -O C:\rustos\.rigel_lopper -i lop-cpu-oslist.dts C:\rustos\.rigel_lopper_temp_platform\rv32imacb_zicsr_zifencei_zbc-hardware_platform\hw\sdt\system-top.dts
